0932|Suncrest|Polygon Bellevue|Tumwater, WA|2905Bpr|29'-0"|36'-0"|3|2.5|1,312|02/18/2011|G:\Database\Plans\Single_Family\0932\2905Bpr.pdf
0932|Suncrest|Polygon Bellevue|Tumwater, WA|2905Bpr_199|30'-0"|38'-0"|3|2.5|1,309|02/18/2011|G:\Database\Plans\Single_Family\0932\2905Bpr_199.pdf
0932|Suncrest|Polygon Bellevue|Tumwater, WA|2905Bps|31'-0"|38'-0"|3+Tech|2.5|1,312|02/18/2011|G:\Database\Plans\Single_Family\0932\2905Bps.pdf
0932|Suncrest|Polygon Bellevue|Tumwater, WA|2915A|28'-6"|51'-0"|3+Tech|2.5|1,730|02/18/2011|G:\Database\Plans\Single_Family\0932\2915A.pdf
0932|Suncrest|Polygon Bellevue|Tumwater, WA|2915Adr|28'-6"|51'-0"|3+Tech|2.5|1,730|02/18/2011|G:\Database\Plans\Single_Family\0932\2915Adr.pdf
0932|Suncrest|Polygon Bellevue|Tumwater, WA|2915B|28'-6"|51'-0"|3+Tech|2.5|1,730|02/18/2011|G:\Database\Plans\Single_Family\0932\2915B.pdf
0932|Suncrest|Polygon Bellevue|Tumwater, WA|3006A|30'-0"|41'-0"|2|2.5|1,121|12/28/2010|G:\Database\Plans\Single_Family\0932\3006A.pdf
0932|Suncrest|Polygon Bellevue|Tumwater, WA|3010A|31'-0"|46'-6"|3+Tech|2.5|1,538|02/18/2011|G:\Database\Plans\Single_Family\0932\3010A.pdf
0932|Suncrest|Polygon Bellevue|Tumwater, WA|3010B|31'-0"|46'-6"|3+Tech|2.5|1,538|02/18/2011|G:\Database\Plans\Single_Family\0932\3010B.pdf
0932|Suncrest|Polygon Bellevue|Tumwater, WA|3010Bdr|31'-0"|46'-6"|3+Tech|2.5|1,538|02/18/2011|G:\Database\Plans\Single_Family\0932\3010Bdr.pdf
1011|Overlook Glen|Polygon Bellevue|Kent, WA|SF3845AC|39'-0"|42'-10"|4|2.5|1,878|05/09/2011|G:\Database\Plans\Single_Family\1011\SF3845AC.pdf
1011|Overlook Glen|Polygon Bellevue|Kent, WA|SF3845B|39'-0"|42'-10"|4|2.5|1,878|05/09/2011|G:\Database\Plans\Single_Family\1011\SF3845B.pdf
1011|Overlook Glen|Polygon Bellevue|Kent, WA|SF3846A|39'-0"|44'-10"|4|3.5|2,684|05/09/2011|G:\Database\Plans\Single_Family\1011\SF3846A.pdf
1011|Overlook Glen|Polygon Bellevue|Kent, WA|SF3846B|39'-0"|44'-10"|4|3.5|2,684|05/09/2011|G:\Database\Plans\Single_Family\1011\SF3846B.pdf
1011|Overlook Glen|Polygon Bellevue|Kent, WA|SF4005A|39'-6"|38'-0"|3+Tech+Bonus|2.5|1,576|05/09/2011|G:\Database\Plans\Single_Family\1011\SF4005A.pdf
1011|Overlook Glen|Polygon Bellevue|Kent, WA|SF4005B|39'-6"|38'-0"|3+Tech+Bonus|2.5|1,576|05/09/2011|G:\Database\Plans\Single_Family\1011\SF4005B.pdf
1011|Overlook Glen|Polygon Bellevue|Kent, WA|SF4006B|39'-6"|46'-0"|4+Bonus|3.5|2,360|05/09/2011|G:\Database\Plans\Single_Family\1011\SF4006B.pdf
1011|Overlook Glen|Polygon Bellevue|Kent, WA|SF4006C|39'-6"|46'-0"|4+Bonus|3.5|2,360|05/09/2011|G:\Database\Plans\Single_Family\1011\SF4006C.pdf
1011|Overlook Glen|Polygon Bellevue|Kent, WA|SF4010A|40'-0"|28'-0|4+Den|3.5|2,159|08/02/2011|G:\Database\Plans\Single_Family\1011\SF4010A.pdf
1011|Overlook Glen|Polygon Bellevue|Kent, WA|SF4010B|40'-0"|28'-0|4+Den|3.5|2,159|08/02/2011|G:\Database\Plans\Single_Family\1011\SF4010B.pdf
1012|Silverlake Meadows|Polygon Bellevue|Snohomish County, WA|2420A|25'-0"|50'-0"|3|2.5|1,560|01/06/2011|G:\Database\Plans\Single_Family\1012\2420A.pdf
1012|Silverlake Meadows|Polygon Bellevue|Snohomish County, WA|2420B|25'-0"|50'-0"|3|2.5|1,560|01/06/2011|G:\Database\Plans\Single_Family\1012\2420B.pdf
1012|Silverlake Meadows|Polygon Bellevue|Snohomish County, WA|3012A|31'-0"|48'-6"|3+Tech|2.5|1,724|07/06/2010|G:\Database\Plans\Single_Family\1012\3012A.pdf
1012|Silverlake Meadows|Polygon Bellevue|Snohomish County, WA|3012B|31'-0"|48'-6"|3+Tech|2.5|1,724|07/06/2010|G:\Database\Plans\Single_Family\1012\3012B.pdf
1012|Silverlake Meadows|Polygon Bellevue|Snohomish County, WA|3015A|31'-0"|51'-0"|3+Bonus|2.5|1,984|07/06/2010|G:\Database\Plans\Single_Family\1012\3015A.pdf
1012|Silverlake Meadows|Polygon Bellevue|Snohomish County, WA|3015B|31'-0"|51'-0"|3+Bonus|2.5|1,984|07/06/2010|G:\Database\Plans\Single_Family\1012\3015B.pdf
1012|Silverlake Meadows|Polygon Bellevue|Snohomish County, WA|3570D|35'-0"|48'-8"|3+Bonus|2.5|2,116|05/28/2010|G:\Database\Plans\Single_Family\1012\3570D.pdf
1012|Silverlake Meadows|Polygon Bellevue|Snohomish County, WA|3570E|35'-0"|48'-8"|3+Bonus|2.5|2,102|05/28/2010|G:\Database\Plans\Single_Family\1012\3570E.pdf
1018|Coho Creek|Polygon Bellevue|Covington, WA|3012A|31'-0"|48'-6"|3+Tech|2.5|1,724|12/06/2010|G:\Database\Plans\Single_Family\1018\3012A.pdf
1018|Coho Creek|Polygon Bellevue|Covington, WA|3012C|31'-0"|48'-6"|3+Tech|2.5|1,724|12/06/2010|G:\Database\Plans\Single_Family\1018\3012C.pdf
1018|Coho Creek|Polygon Bellevue|Covington, WA|3014A|31'-0"|51'-0"|3+Bonus|2.5|1,952|12/06/2010|G:\Database\Plans\Single_Family\1018\3014A.pdf
1018|Coho Creek|Polygon Bellevue|Covington, WA|3014B|31'-0"|51'-0"|3+Bonus|2.5|1,952|12/06/2010|G:\Database\Plans\Single_Family\1018\3014B.pdf
1018|Coho Creek|Polygon Bellevue|Covington, WA|3014C|31'-0"|51'-0"|3+Bonus|2.5|1,952|12/06/2010|G:\Database\Plans\Single_Family\1018\3014C.pdf
1018|Coho Creek|Polygon Bellevue|Covington, WA|3018A|31'-0"|51'-0"|4+Bonus|2.5|2,134|12/06/2010|G:\Database\Plans\Single_Family\1018\3018A.pdf
1018|Coho Creek|Polygon Bellevue|Covington, WA|3018B|31'-0"|51'-0"|4+Bonus|2.5|2,134|12/06/2010|G:\Database\Plans\Single_Family\1018\3018B.pdf
1018|Coho Creek|Polygon Bellevue|Covington, WA|3018C|31'-0"|51'-0"|4+Bonus|2.5|2,134|12/06/2010|G:\Database\Plans\Single_Family\1018\3018C.pdf
1022|Morningview Place|Polygon Bellevue|Maple Valley, WA|2915C|28'-6"|51'-0"|3+Tech|2.5|1,730|10/15/2010|G:\Database\Plans\Single_Family\1022\2915C.pdf
1022|Morningview Place|Polygon Bellevue|Maple Valley, WA|2915D|28'-6"|51'-0"|3+Tech|2.5|1,730|10/15/2010|G:\Database\Plans\Single_Family\1022\2915D.pdf
1022|Morningview Place|Polygon Bellevue|Maple Valley, WA|2915Y|28'-6"|53'-0"|3+Tech|2.5|1,730|10/15/2010|G:\Database\Plans\Single_Family\1022\2915Y.pdf
1022|Morningview Place|Polygon Bellevue|Maple Valley, WA|2915Z|28'-6"|53'-0"|3+Tech|2.5|1,730|10/15/2010|G:\Database\Plans\Single_Family\1022\2915Z.pdf
1022|Morningview Place|Polygon Bellevue|Maple Valley, WA|3011A|31'-0"|46'-6"|3+Tech|2.5|1,640|09/28/2010|G:\Database\Plans\Single_Family\1022\3011A.pdf
1022|Morningview Place|Polygon Bellevue|Maple Valley, WA|3018C|31'-0"|52'-0"|4+Bonus|2.5|2,134|06/01/2011|G:\Database\Plans\Single_Family\1022\3018C.pdf
1022|Morningview Place|Polygon Bellevue|Maple Valley, WA|3520A|34'-6"|37'-0"|3+Loft|2.5|1,561|09/28/2010|G:\Database\Plans\Single_Family\1022\3520A.pdf
1022|Morningview Place|Polygon Bellevue|Maple Valley, WA|3520B|34'-6"|37'-0"|3+Loft|2.5|1,561|09/28/2010|G:\Database\Plans\Single_Family\1022\3520B.pdf
1022|Morningview Place|Polygon Bellevue|Maple Valley, WA|4020A|40'-0"|48'-8.5"|3+Bonus|2.5|2,190|09/28/2010|G:\Database\Plans\Single_Family\1022\4020A.pdf
1022|Morningview Place|Polygon Bellevue|Maple Valley, WA|4020B|40'-0"|51'-2.5"|3+Bonus|2.5|2,190|09/28/2010|G:\Database\Plans\Single_Family\1022\4020B.pdf
1022|Morningview Place|Polygon Bellevue|Maple Valley, WA|4025A|40'-0"|48'-9"|3+Bonus+Den+Tech|2.5|2,445|10/15/2010|G:\Database\Plans\Single_Family\1022\4025A.pdf
1022|Morningview Place|Polygon Bellevue|Maple Valley, WA|4025B|40'-0"|51'-3"|3+Bonus+Den+Tech|2.5|2,445|10/15/2010|G:\Database\Plans\Single_Family\1022\4025B.pdf
1038|Bella Park|Polygon Bellevue|Snohomish County, WA|2422A|25'-0"|51'-0"|3|2.5|1,681|05/20/2011|G:\Database\Plans\Single_Family\1038\2422A.pdf
1038|Bella Park|Polygon Bellevue|Snohomish County, WA|2422B|25'-0"|51'-0"|3|2.5|1,681|05/20/2011|G:\Database\Plans\Single_Family\1038\2422B.pdf
1038|Bella Park|Polygon Bellevue|Snohomish County, WA|2428A|25'-0"|51'-0|3+Bonus|2.5|2,157|06/15/2011|G:\Database\Plans\Single_Family\1038\2428A.pdf
1038|Bella Park|Polygon Bellevue|Snohomish County, WA|2428B|25'-0"|51'-0"|3+Bonus|2.5|2,157|06/15/2011|G:\Database\Plans\Single_Family\1038\2428B.pdf
1038|Bella Park|Polygon Bellevue|Snohomish County, WA|3012A|31'-0"|48'-6"|3+Tech|2.5|1,724|06/03/2011|G:\Database\Plans\Single_Family\1038\3012A.pdf
1038|Bella Park|Polygon Bellevue|Snohomish County, WA|3012B|31'-0"|48'-6"|3+Tech|2.5|1,724|06/03/2011|G:\Database\Plans\Single_Family\1038\3012B.pdf
1038|Bella Park|Polygon Bellevue|Snohomish County, WA|3013A|31'-0"|48'-6"|3+Tech|2.5|1,724|06/03/2011|G:\Database\Plans\Single_Family\1038\3013A.pdf
1038|Bella Park|Polygon Bellevue|Snohomish County, WA|3013C|31'-0"|48'-6"|3+Tech|2.5|1,724|06/03/2011|G:\Database\Plans\Single_Family\1038\3013C.pdf
1038|Bella Park|Polygon Bellevue|Snohomish County, WA|3015A|31'-0"|51'-0"|3+Bonus|2.5|1,984|06/03/2011|G:\Database\Plans\Single_Family\1038\3015A.pdf
1038|Bella Park|Polygon Bellevue|Snohomish County, WA|3015B|31'-0"|51'-0"|3+Bonus|2.5|1,984|06/03/2011|G:\Database\Plans\Single_Family\1038\3015B.pdf
1038|Bella Park|Polygon Bellevue|Snohomish County, WA|3017A|31'-0"|49'-6"|3+Tech+Bonus|2.5|2,280|06/15/2011|G:\Database\Plans\Single_Family\1038\3017A.pdf
